5:> **Agents**: Researcher, Programmer, Quality Assurance
8:> **⛔ PROGRAMMER WRAPPING-ONLY LOCK — ACTIVE (2026-05-18 23:27 UTC)**: Set by zoe. The Programmer agent is FORBIDDEN from working on any task that is NOT swarmwrap.sty. No README, no CI/CD, no CTAN, no documentation, no cleanup, no spellcheck. The ONLY files that may be modified are `src/themes/swarmwrap.sty` and its test files in `src/test-wrapfig/`. This lock expires ONLY when zoe explicitly lifts it. All other Programmer tasks (#130, #132, #134-#140) are DEFERRED indefinitely. Violation means the work does not count.
29:## TODO
37:| 5 | Design the "beautiful" theme — title page, typography, colors, tables | Programmer | **done** | 2026-05-14 |
121:| 87 | **FIX**: spellcheck.py tabularray syntax leaking as false positives (QA #82, rated 8/10). MINOR BUG: tabularray key-value syntax (`font=\sffamily`, `bg=sbLight`, `hline{1} = {1pt, sbPrimary}`) inside `\begin{tblr}{...}` is not filtered. The brace-skipping logic keeps the content inside `{...}`, so tokens like `font=`, `bg=sbLight`, `1pt`, `0.4pt` are extracted as words and flagged as misspellings. Fix: (1) Add `tblr` to a "skip-content" environments list where the FIRST mandatory argument (the column/row spec) is not spell-checked. (2) Alternatively, skip ALL content inside `\begin{tblr}{...}...\end{tblr}` since table specs rarely contain natural language. (3) Or add a simple pre-filter that strips `word=value` patterns (key-value pairs separated by `=`). | Programmer | **done** | 2026-05-16 |
122:| 74 | **QA**: Verify Programmer's cutwin Test 4 fix (task #73) — check that task #53 comm log now rates Test 4 as FAIL (not PARTIAL PASS), item widths updated to 66pt/152pt, and test-cutwin.tex Test 4 comment explains the itemize overflow. | QA | **done** (10/10) | 2026-05-16 |
123:| 89 | **RESEARCH + BENCHMARK**: Pure-Lua spellchecker — investigate whether a Lua-based spellcheck (running inside LuaLaTeX during compilation) would be faster than the current Python (`spellcheck.py`) + LaTeX two-pass approach, especially on a Raspberry Pi. (1) Research: can Lua access a dictionary file fast enough? Are there existing Lua spellcheck libraries (e.g., `lua-spellcheck`, Hunspell Lua bindings)? How does `pyspellchecker`'s pure-Python approach compare to a pure-Lua dictionary lookup? (2) Benchmark: time both approaches on the 3 demo .tex files — (a) current: `python3 spellcheck.py demo.tex && pdflatex demo.tex` (total wall time); (b) proposed: single `lualatex demo.tex` with Lua spellcheck built into the .sty. (3) If Lua is faster (or even comparable), implement a `spellcheck-lua.lua` module that runs inside `spellcheck.sty` — no external Python call needed. Target: eliminate the Python subprocess and helper-file I/O overhead. (4) If Lua is slower, document why and keep the Python approach. PREREQUISITE: This is a HIGH PRIORITY task from zoe. The spellcheck will run on an underpowered Raspberry Pi — efficiency matters. NOTE: Existing spellcheck.py bugs (#85, #86, #87) and spellcheck.sty bugs (#88) should still be fixed, but this task takes priority — a Lua-native approach might make some of those bugs irrelevant. | Programmer | **done** | 2026-05-16 |
124:| 90 | **BUILD**: swarmwrap.sty v1.0 — custom float wrapper. See comm log. | Programmer | **done** | 2026-05-16 |
125:| 91 | **RE-REVIEW**: Verify Programmer's spellcheck.py fix #85 (non-deterministic hash sort) — run `PYTHONHASHSEED=0 python3 scripts/spellcheck.py demo-beautiful.tex` and `PYTHONHASHSEED=42 python3 scripts/spellcheck.py demo-beautiful.tex` and confirm identical word counts. Also verify the sorted alternation in `_preprocess()` (line ~189) uses `key=len, reverse=True`. Check that demo-beautiful gives 533 words, demo-performance gives 350 words, demo-minimal gives 419 words regardless of hash seed. | QA | **done** (10/10) | 2026-05-17 |
126:| 92 | **RE-REVIEW**: Verify Programmer's spellcheck.py fix #86 (multi-line display math filtering) — create a test .tex with `\[\n  e^{i\\pi} + 1 = 0\n\]` spanning 3 lines and run `python3 scripts/spellcheck.py test.tex --verbose`. Confirm that math content (e^{, pi, etc.) is NOT extracted as words. Also verify single-line `$...$` and `\(...\)` still work. Check word counts: demo-beautiful 533, demo-minimal 419 (both reduced by 4 from math filtering). | QA | **done** (10/10) | 2026-05-17 |
127:| 93 | **RE-REVIEW**: Verify Programmer's spellcheck.py fix #87 (tabularray syntax filtering) — run `python3 scripts/spellcheck.py demo-beautiful.tex --verbose` and confirm only 2 misspellings remain (down from 14 before the fix). Verify `tblr` and `tblr*` are in `LITERAL_ENVS` (line ~86). Run `python3 scripts/spellcheck.py demo-performance.tex` and confirm 0 misspellings. | QA | **done** (10/10) | 2026-05-17 |
128:| 94 | **RE-REVIEW**: Verify Programmer's spellcheck.sty fix #88 (toggle + honest docs) — compile a test .tex with `spellcheck.sty` that has `\swarmspellcheckfalse` followed by `\spellerror{test}` followed by `\swarmspellchecktrue` followed by `\spellerror{test}`. Verify with PyMuPDF: page should have exactly 1 red drawing (only the second word underlined). Also verify the .sty header (lines 17-19) no longer claims auto-replacement is implemented. | QA | **done** (10/10) | 2026-05-17 |
130:| 96 | **FIX**: swarmwrap.sty v1.0 — figures not rendered in PDF (QA #95, rated 3/10). CRITICAL BUG: Savebox content lost on group exit. The `swarmwrap` environment creates a TeX group. Inside it, `\begin{lrbox}{\swarmwrap@box}...\end{lrbox}` fills a `\newsavebox` with the figure. Box register assignments in TeX are LOCAL — when `\end{swarmwrap}` closes the group, the savebox reverts to empty. The `\xdef` macros for parshape persist (global), so text wrapping works, but `\copy\swarmwrap@box` in `\swarmwrapnext` copies an empty box. Fix: (a) After `\end{lrbox}` and before `\end{swarmwrap}`, add `\global\setbox\swarmwrap@box=\box\swarmwrap@box` to make the box survive the group exit; OR (b) Replace `\begin{lrbox}` with `\global\setbox\swarmwrap@box=\hbox\bgroup...\egroup`; OR (c) Use `\newtoks\swarmwrap@toks` instead of a savebox. After fixing, compile `test-customwrap.tex` and verify with PyMuPDF that dark pixels (the figure) appear in the expected gap area on pages 1-5. ALSO FIX: Test 6 in `test-customwrap.tex` is missing `\swarmwrapnext` after the `swarmwrap` environment — add it on line 140. | Programmer | **done** | 2026-05-17 |
131:| 97 | **RE-REVIEW**: Verify Programmer's swarmwrap.sty v1.1 fix #96 (savebox + boolean + positioning) — compile `src/test-wrapfig/test-customwrap.tex` with LuaLaTeX. Verify: (1) All 6 tests have figures rendering in the correct position (right wrap → figure on right, left wrap → figure on left); (2) Figure captions ("Figure 1:", "Figure 3:", etc.) appear in PyMuPDF text extraction; (3) Text wrapping is correct (narrowed text lines alongside figure area); (4) Test 6 now has `\swarmwrapnext` after the environment; (5) Zero `!` errors; (6) PDF has 8 pages. Also verify `\global\setbox\swarmwrap@box=\box\swarmwrap@box` in swarmwrap.sty (line ~70) and `\global\swarmwrap@righttrue` in begin code (line ~50). | QA | **done** (10/10) | 2026-05-17 |
132:| 98 | **FIX**: swarmwrap.sty v2.0 — MASSIVE whitespace problem (zoe feedback, QA #97). THREE fixes: (a) Line count from `\dp` (content below text baseline) instead of `\ht+\dp` (total box height). The [t]-minipage reference point is at the rule bottom; `\ht` is the rule extending above text start (irrelevant for wrapping), `\dp` is the caption below text start (what actually needs narrowed text). (b) `\smash` around `\rlap`/`\llap` prevents figure box depth (caption) from corrupting interline spacing — without it, TeX added ~75pt gap between lines 1 and 2 because the box depth contributed to line height calculation. (c) Trailing full-width parshape line spec — LuaTeX reuses the last parshape entry for lines beyond N, so adding `0pt \textwidth` as line N+1 resets excess lines to normal width. User-supplied height arg kept for backward compat but ignored. QA task #100 created. | Programmer | **done** | 2026-05-17 |
133:| 101 | **FIX**: swarmwrap.sty v2.1 — figure positioned above text, not beside it (QA #100, rated 4/10). CRITICAL BUG: The [t]-minipage reference point is at the rule's baseline (bottom of the 108pt rule). When `\raise-2pt\hbox{\copy\swarmwrap@box}` places the box at the text baseline, the rule extends 108pt UPWARD while text flows downward. Only 14pt (1 line) of the 108pt figure actually overlaps with wrapped text. FIX — reposition figure to extend DOWNWARD from text start: (a) Use `\raise\dimexpr\ht\strutbox-\ht\swarmwrap@box\relax\hbox{...}` to lower the box so the figure TOP (= refpoint + \ht) aligns with the text ascender (= \ht\strutbox). (b) Change line count from `\dp` (v2.0) to `\ht + \dp` (total box height = figure + caption). (c) Same approach for left wrap via `\llap`. (d) Keep `\smash` wrapper and trailing reset from v2.0. PyMuPDF verified: gap_above = -2.8pt (text starts 2.8pt above figure, within 5pt target) on all 6 tests. gap_below = 0.9-7.1pt on all tests (within 20pt target). QA re-review task #102 created. | Programmer | **done** | 2026-05-17 |
